#
# "Summary" ["ExecutionWasted","Starvation","BranchStallPercent","ICacheStallPercent","BranchMispredictionRate","AvgICacheMissPenalty","ICacheMispredictionCorrelation","ICacheMissRate"]
# Formula "ExecutionWasted" ((1.0)-(((UOPS_RETIRED:ANY)/(RS_UOPS_DISPATCHED))))
# Formula "Starvation" ((((RS_UOPS_DISPATCHED_NONE)-(RESOURCE_STALLS:ANY)))/(UNHALTED_CORE_CYCLES))
# Formula "BranchStallPercent" ((RESOURCE_STALLS:BR_MISS_CLEAR)/(UNHALTED_CORE_CYCLES))
# Formula "ICacheStallPercent" ((CYCLES_L1I_MEM_STALLED)/(UNHALTED_CORE_CYCLES))
# Formula "BranchMispredictionRate" ((BR_MISSP_EXEC)/(BR_INST_EXEC))
# Formula "AvgICacheMissPenalty" ((CYCLES_L1I_MEM_STALLED)/(L1I_MISSES))
# Formula "ICacheMispredictionCorrelation" ((BR_MISSP_EXEC)/(L1I_MISSES))
# Formula "ICacheMissRate" ((L1I_MISSES)/(L1I_READS))
#
n	ExecutionWasted	Starvation	BranchStallPercent	ICacheStallPercent	BranchMispredictionRate	AvgICacheMissPenalty	ICacheMispredictionCorrelation	ICacheMissRate
"calendar"	0.36324179371378573	0.34614633438510023	4.338182714118029e-2	0.3769256589768908	6.570898682029679e-2	101.59800891172623	3.165760274415287	5.957846867032423e-3
"cichelli"	0.30295822161314734	3.67191268253234e-2	1.621009044946762e-2	1.1618047496704895e-2	3.4293017742654266e-2	60.2684861560777	61.65830139751536	1.9504467091720342e-4
"circsim"	0.3811410034724747	-5.117019280450086e-2	6.92439231724054e-2	2.8579081743882434e-2	5.2924735391446695e-2	42.85466958099759	18.18837348083959	6.868045305183122e-4
"clausify"	0.3430509941797368	0.1376653340699935	1.1834439927303247e-2	1.4030537455769982e-2	5.374289099748436e-2	49.001746897041656	67.75819238148763	2.9053836769671944e-4
"comp_lab_zift"	0.3478221610415353	-1.4824063402404391e-2	4.5954123999114006e-2	1.8155548220734893e-2	3.924214556939265e-2	35.05806471411632	25.384642119312172	5.275262320838029e-4
"compress"	0.2918194935019608	-0.18899809785992555	9.520737854638446e-3	1.86618393806876e-2	1.7283781843921837e-2	43.13809318538066	11.337066521862246	4.40855364110538e-4
"compress2"	0.3612087252283383	-0.12180315026100423	1.5979494142289215e-2	3.8212909816446684e-2	3.881408353595684e-2	42.53103070623908	9.307227700042327	9.341953802252714e-4
"constraints"	0.3120811699476203	-1.14924230740629e-2	5.0692988116335824e-2	1.8033185314883383e-2	3.0836457731192958e-2	40.33506657021656	21.927640033135607	4.5527522931704506e-4
"cryptarithm1"	0.3011561638940072	-9.186541992640859e-2	4.8897658845379596e-2	1.3167823183571037e-2	3.374202069287745e-2	41.55374441415684	31.439496154907932	3.21114726770144e-4
"cryptarithm2"	0.32664743783486	1.0033281971005564e-2	2.224174778555401e-2	3.679844189763457e-2	3.461087746565371e-2	51.77781717527997	16.08483665142172	7.397615327602202e-4
"cse"	0.36406495569557745	0.2600300744450098	5.063478202156442e-2	0.263223806005151	6.148601508173418e-2	68.24971769912975	3.564855240460923	5.286560377009719e-3
"eliza"	0.27069616364428134	0.2898170699715788	3.5571705750565216e-2	0.3534303330250997	3.353581114081906e-2	94.99767828653725	2.25321583860337	5.465315269773156e-3
"event"	0.3480356384336275	0.10313398770688345	2.7760176706075956e-2	2.0115880070798887e-2	5.33664657816469e-2	69.56515722120852	57.84528035570744	2.949483543678553e-4
"exp3_8"	0.2270959894338513	-0.293662735398183	3.761018105264939e-3	1.5456875177860069e-2	1.8144666850265123e-3	76.86741212490946	3.1616641515649664	2.0425885063358535e-4
"expert"	0.3341178214526754	0.4750841520355412	2.8771407331342334e-2	0.4166804019562149	7.726621732067943e-2	61.03908572059173	1.6725309891238467	1.2880082434895797e-2
"fem"	0.3029136227638791	-4.448593738040725e-2	3.274222724807772e-2	6.165826698564449e-2	2.7692204721587316e-2	32.00086172245608	4.590681030910735	2.0558186519429276e-3
"fft"	0.29166229919339326	-0.1649236604339109	4.873761150941126e-2	4.656150296257276e-2	2.7172708411033298e-2	82.54853911074738	9.468949266447586	5.940957777309889e-4
"fft2"	0.30661137632489116	-0.1651386807433937	7.332060833400443e-2	2.0813116038897066e-2	3.1848833750757866e-2	41.80612747504106	16.357954252854796	5.091948041365416e-4
"fibheaps"	0.3480385148432775	-5.6501384988478974e-2	3.025958351820155e-2	3.4598563283620806e-2	4.520159836711205e-2	42.74688549932265	14.925990508607526	8.38263501518971e-4
"fish"	0.2910559056131808	-2.2357430199152113e-2	3.20952447186485e-2	6.522622996494187e-2	4.6829011811911736e-2	33.807973844888586	6.160300148465404	2.0645973033781803e-3
"fluid"	0.3526549272188499	0.17595732941603512	2.642310957530699e-2	0.11282057539393056	5.784023885216925e-2	32.597765830332435	4.587103301481117	3.907775345055419e-3
"fulsom"	0.44036252290968897	0.17846542614018895	3.856589362961468e-2	9.395817165571677e-2	8.606688900387338e-2	19.047659939478287	4.148653421969461	5.4439283143211505e-3
"gamteb"	0.2515863179667693	0.10902865536918946	3.030752405543043e-2	0.19224435180795824	2.7333818887988727e-2	20.562131643255906	0.7785915412905089	1.1576639841161382e-2
"gcd"	0.24930218538039234	-0.10548357903360583	2.237175932938086e-2	1.203506199248235e-2	2.5528166374832705e-2	42.44603974112276	26.515297899496904	2.871831565960238e-4
"gen_regexps"	0.17687487575175861	0.3282693543484849	2.3018919057194616e-2	0.3690739603646582	1.6263253188462688e-2	85.24825411494339	0.8778728993447655	7.015823785450936e-3
"genfft"	0.3785517898279259	2.9211468519945806e-2	7.206080765251707e-2	2.760186929269217e-2	5.441457844520785e-2	46.4109940058458	26.767732701070873	6.112993372863491e-4
"gg"	0.2715110312333858	-2.4234416922243113e-2	3.8032047752848415e-2	8.824345271895531e-2	2.085037158017868e-2	45.193175320283544	3.664254972521989	2.1454776806272453e-3
"grep"	0.27079438736823225	0.725006053480101	4.247744669031454e-2	0.7895738963599723	0.1345600787477083	97.2606856840944	0.8571041157273415	2.5921676308794113e-2
"hidden"	0.3724435523985783	6.843698050504185e-2	4.4265988251908306e-2	3.465235536578596e-2	5.534027922482608e-2	22.862461581336852	10.663041126650082	1.5699173032673445e-3
"hpg"	0.2545818122041555	0.47132542271968836	7.7731414074097335e-3	0.5643433627103085	4.199917509749311e-2	20.721844262976322	0.1935949745794245	6.271037358069781e-2
"ida"	0.4065691472999868	8.165641738219716e-2	3.873081908745099e-2	2.5871639872364904e-2	7.22210217805484e-2	56.720195810669296	43.10022897750485	4.681567957833304e-4
"infer"	0.2204728433059382	-4.011448414039927e-2	8.434761088957281e-3	2.270194459604404e-2	5.629682722075863e-3	43.95891033453343	4.692569641052368	5.28671683780548e-4
"integer"	0.22659176814871515	0.16619299880727834	1.1827646590899421e-3	7.484389499994251e-3	7.786543588486874e-2	47.49826932448136	149.6220253521378	1.5878402542108194e-4
"integrate"	0.354083697172524	4.472165969195658e-4	3.1002595095027053e-2	3.38025606293297e-2	3.378191946191646e-2	156.30722473234442	37.955824268388064	2.2544168550290991e-4
"knights"	0.26822280829774314	0.11291450036230873	6.3727170747470835e-3	4.4824877627134586e-2	1.8722817399361345e-2	60.335723788386176	10.293972675790643	7.831318873408254e-4
"lcss"	0.27258789816455004	-0.2755662324745774	5.283127354519941e-3	1.4484116715138277e-2	4.377827206262858e-3	59.03800696392487	3.4899054917003385	2.490413637951881e-4
"life"	0.3025293728658739	-0.1591559589437404	3.589986848712913e-2	1.9147125542742467e-2	2.5036947369060463e-2	35.6821989619109	14.264365435034694	5.471301971334797e-4
"lift"	0.3956020757487213	0.3370846736419156	4.575889879717287e-2	0.32429615978475756	8.704283443263572e-2	62.4754276972664	2.922942061555979	7.949945533936287e-3
"listcompr"	0.37090546384161527	3.583631290157834e-2	5.2770309095917164e-2	4.5973920439962915e-2	5.0281550273249265e-2	31.180202459116952	10.751063152322248	1.5451412279976961e-3
"listcopy"	0.3668800631309027	2.3198665880306484e-2	5.287341672231692e-2	4.1974902280608475e-2	4.8209292217846055e-2	29.808762588356	10.965780908093539	1.4700400098436705e-3
"maillist"	0.28083650423782036	0.5228476714466543	1.8257354959514867e-2	0.5262004622707915	8.9352803589167e-2	21.486534427437768	0.38965683811584195	5.185469229629489e-2
"mandel"	0.2264613988597068	-0.142244408332411	8.197613053312767e-3	2.463438571466605e-2	9.381642928435508e-3	34.920119621512285	5.477467527291758	7.314545809272984e-4
"mandel2"	0.3235926975351875	-0.1558271778275067	2.3915570306405825e-2	3.9115128973511486e-2	2.8306280617649927e-2	66.8694922152069	12.427984894913362	6.07862682802646e-4
"minimax"	0.35093088490032703	8.278268672265648e-2	3.0457534591601627e-2	8.022525083794005e-2	4.191763063895763e-2	59.87763164772444	9.792259139380224	1.4589218467449137e-3
"mkhprog"	0.31050747245867943	0.10647048570658044	3.9733749666106516e-2	0.18257931873721386	3.3264152842535526e-2	61.02149002421588	3.1869211672106883	3.6429727625623513e-3
"multiplier"	0.34387716330342444	-8.183847682445582e-2	4.4803656892280296e-2	2.4531873115165477e-2	3.670000514473189e-2	33.79647841321855	15.99272688670366	7.443265938586036e-4
"nucleic2"	0.39221136451974414	2.6310256900647044e-2	5.876553376280551e-2	8.05040528768599e-2	8.0201288946262e-2	17.34158351898218	3.520104331800648	5.052555700591726e-3
"para"	0.27630660086311565	7.817130773942367e-3	2.4979924949904704e-2	2.5379378126680074e-2	2.861545352837182e-2	22.204525386832437	8.834746493354306	1.172621422671884e-3
"paraffins"	0.2449128273598185	-6.927051512924229e-2	5.964118258976086e-3	6.0841351973129024e-2	4.147950967292794e-3	257.05582311193297	3.053645704721233	2.521359396948802e-4
"parser"	0.31434332434962664	0.16688736444952063	1.646512927945642e-2	9.677225986201125e-2	4.145666982798087e-2	21.17748874117488	2.9801504446639897	5.062557076305032e-3
"parstof"	0.39408465815929616	0.22729593119818495	3.278599605275713e-2	0.10630025294677678	7.19397783473041e-2	42.06970783774225	7.687807918728156	2.82687615193271e-3
"pic"	0.3041224194578526	3.195384230577605e-2	5.2685294266051605e-2	0.1553176115433869	4.86134289623079e-2	32.408599524305934	1.993286649452319	5.712449159039315e-3
"power"	0.2354268277129133	-1.595470110807936e-2	3.4096480637926196e-2	4.074343115348413e-2	2.2329989574223462e-2	88.41168546519293	15.017779272235646	4.807882730009579e-4
"pretty"	0.2850888564276327	0.5852808250520788	4.4321915240449365e-2	0.6536315832021649	7.65310230857845e-2	105.5408472452352	1.1184396534103702	1.6215619890980283e-2
"primes"	0.16130709622458972	-0.14844518707840426	1.9894825573899657e-3	1.0440252559031344e-2	1.9358892076729475e-3	57.09996256421236	3.7731273715879583	1.8481864734982037e-4
"primetest"	0.17874957257084442	-0.13409005724698436	7.269086132147541e-3	5.8597927218216675e-2	1.3591533636759103e-2	22.605194163955442	1.0877703449722085	2.753619485214163e-3
"prolog"	0.3330411037196617	0.2716780918913553	2.9417681600939084e-2	0.2585791600331102	5.591888877507156e-2	50.987676743823286	2.6436912109827504	6.747245838104554e-3
"puzzle"	0.35985257745259996	0.13911116211554564	1.17072987943354e-2	9.294681620725349e-3	7.877290965689664e-2	31.273479860717686	71.9709413375812	2.9997169489723606e-4
"queens"	0.3203062742689441	0.10221483682449577	4.370994512862384e-3	1.4402938086897063e-2	3.411757876978489e-2	86.51823924647178	67.0854959502156	1.6909092054758341e-4
"reptile"	0.332627252326977	4.835856782725268e-2	5.538873115386278e-2	9.039608873577575e-2	4.6925048802150024e-2	42.749162919610306	6.147758055607505	2.326308172307203e-3
"rewrite"	0.3571960867150683	0.16407992719288	1.924148606724468e-2	3.476760610834638e-2	6.195893974155585e-2	42.4218520225298	24.170687883446043	8.481864444205842e-4
"rfib"	0.5440091045569858	0.14866378270254169	1.1931655694090928e-2	7.469188664645217e-3	8.261081264186107e-2	106.28776652911972	385.2046159909977	7.066535797808132e-5
"rsa"	0.20063478948088095	-0.10654495935416616	1.0639481986754528e-2	3.263055247474775e-2	1.907561861492556e-2	70.90125283598019	9.819303413710097	4.7665796423268714e-4
"scc"	0.29698887373637683	0.6175757428087085	3.6417939514274855e-2	0.6181780005105144	0.11350375517873697	85.23404767586644	1.071239075016686	2.097707266406313e-2
"sched"	0.410456272292803	0.12631073083293526	1.9560246860602173e-2	2.3496048051299352e-2	8.068954567893205e-2	44.16332900412691	40.09290756823451	5.449731384727908e-4
"scs"	0.27072174060733173	5.046516413171696e-2	3.01135930578131e-2	0.1333039582592502	3.4100059962530974e-2	18.676418296407622	1.2990344361116646	8.207392521874343e-3
"simple"	0.3328777119538393	2.1923333843357772e-2	5.211885979441511e-2	0.11749718654273711	4.294830707236423e-2	21.537932306516037	1.7067874828428207	6.169427127153084e-3
"solid"	0.3343207672536946	-9.811317003295802e-2	2.302378137399457e-2	3.756518785577066e-2	3.487594003295972e-2	60.94502559046117	16.42974680958831	6.408864820264084e-4
"sorting"	0.2578459061651557	0.19381007529452993	1.8616487467902034e-2	0.2457890937159875	2.1183155508920432e-2	78.82280440880656	2.098472794395934	4.110128507387753e-3
"sphere"	0.26931183391956803	0.14077325618983388	1.9663462102843143e-2	0.2323132873151743	2.9606953403431523e-2	17.786532863197372	0.5753420673719286	1.7006755714068934e-2
"symalg"	0.14339586283151556	-0.12361503227291015	5.031827211429693e-3	3.449621121946133e-2	3.306132416202055e-2	68.09424311137624	4.991317046419013	5.251682876751588e-4
"tak"	0.4637041869145352	0.3056219917513565	6.291355572434875e-4	8.75779373836331e-3	0.12353201110141254	78.72127235292803	312.46680370490265	4.0502708559411277e-4
"transform"	0.37715575230941617	0.10754939252314692	4.8492895015128996e-2	4.8671997025548e-2	5.742399835729724e-2	20.122731712625704	7.266223853574367	2.5424874155198316e-3
"treejoin"	0.2766092264731041	-5.72764556178232e-2	2.874237470748171e-2	2.8929796457934226e-2	2.002910790868801e-2	85.88994859561276	14.144069238494676	3.466026223482206e-4
"typecheck"	0.38736398408855965	0.14466982777715587	2.6278248824050925e-2	1.939684260533504e-2	6.933430216856121e-2	24.900021706089376	27.435532331172293	7.946235675125223e-4
"veritas"	0.3495637668815503	0.40373205444750165	4.2868778420396915e-2	0.4410408671353284	6.383000426837945e-2	95.50287216652484	2.1600167685505527	8.39883209397116e-3
"wang"	0.32988415613542726	-0.17263742838848128	2.5336893844798314e-2	2.4599036604016522e-2	2.3476843986714253e-2	50.067045723516536	12.607564685362624	5.035274681399905e-4
"wave4main"	0.39476989859301953	-4.325689102714228e-2	0.14772102482978913	7.866719575727068e-3	6.883685213349554e-2	48.306242719977604	97.67581908210667	1.6419682891887882e-4
"wheel-sieve1"	0.12065662036107042	-0.10283737084795408	3.4309919112590634e-3	2.2153526441101375e-3	3.249386382809935e-3	134.99692168338433	64.1516183492743	1.645956266585209e-5
"wheel-sieve2"	0.17685262742767144	-0.13844172291689077	5.271105902398985e-3	1.2051395013265298e-2	5.236356214749225e-3	53.461015088514465	6.734910194972182	2.2826962457670076e-4
"x2n1"	0.30355986236618226	-5.454030408506118e-2	1.2647146650992123e-2	1.7200306512568545e-2	2.776675035705891e-2	48.24512113806357	23.57578543561641	3.6259708098497115e-4
#-------------------------------------------------------------------
# ExecutionWasted Starvation BranchStallPercent ICacheStallPercent BranchMispredictionRate AvgICacheMissPenalty ICacheMispredictionCorrelation ICacheMissRate
# [ArithMean,ArithMean,ArithMean,ArithMean,ArithMean,ArithMean,ArithMean,ArithMean]
# 0.309622104330729	8.025585683101431e-2	3.0431426307160628e-2	0.1257517286874351	4.491516103546377e-2	55.81532933729426	23.394729200688882	4.583133832595828e-3

